Scientific Name,Habitat Comments
Gyrinophilus palleucus palleucus,"Permanent lakes, ponds, swamps, marshes, and streams; especially those with abundant emergent or floating herbaceous vegetation; old rice fields and rice field reservoirs. Occurs in mangroves in the Bahamas (Schwartz and Henderson 1991). Eggs and larvae develop in permanent bodies of water. In South Carolina, males moved from cypress-hardwood zone to grass-herb zone 40-50 m from shore during breeding period; females in grass-herb zone were ready to ovulate (Lamb 1984). When calling, males float in water."
Gyrinophilus porphyriticus,Swamps along streams and edges of shallow ponds and impoundments (including beaver ponds). Eggs and larvae develop in permanent swamp waters.
Hemidactylium scutatum,"Pickerel frogs occur in various freshwater aquatic and wetland habitats in wooded regions, ranging from the vicinity of cool clear streams and ponds in the north to warm, turbid swamps in parts of the south. In summer, they commonly range into fields and woods away from ponds or streams. In winter, they may be hidden at the bottom of a water body or secluded in wet caves.Breeding sites include standing water of woodland ponds, bog ponds, impoundments, stream pools, sloughs, and flooded ditches, often but not always in sites with few or no fishes (e.g., Holomuzki 1995). Males call while floating or submerged. Females attach egg masses to submerged vegetation."
Lithobates capito,"Southern leopard frogs occur in the vicinity of virtually any freshwater habitat and in some locations inhabit slightly brackish marshes. In summer they may disperse from water into moist upland vegetation. Breeding occurs in still, shallow, permanent or temporary waters of many kinds. Males call usually from shallow or deep water while floating or submerged, sometimes while hidden in crayfish burrows. Egg masses may be attached to vegetation or float free in shallow water. "
Lithobates catesbeianus,"Wood frogs inhabit various kinds of wooded habitats, including the edges of ponds and streams and willow thickets and grass/willow/aspen associations. In winter or when otherwise inactive, they hide in logs, humus, leaf litter, or under logs and rocks. In winter upland habitat in eastern Massachusetts, adult males greatly outnumbered adult females in areas close to (within 65 meters of) breeding pools; two wintering areas were not used during the summer active period (Regosin et al. 2003).<br><br>Eggs are laid and larvae develop usually in vernal pools and other small fish-free ponds, temporary or permanent, in wooded (usually) or open areas. In the Shenandoah Mountains, breeding adults were 100% faithful to the ponds in which they first bred; approximately 18% of the juveniles dispersed to breed in ponds other than the one of origin (Berven and Grudzien 1991). Experiments and field observations by Hopey and Petranka (1994) indicate that adults are able to assess the presence of fishes in ponds and may change breeding sites accordingly to avoid those with predatory fishes. In northern Minnesota, successful reproduction in acidic bog water either does not occur or is a rare event (Karns 1992)."
Lithobates clamitans,"Sphagnum bogs and swamps and sphagnum borders of lakes and ponds; tea-colored, slow-moving water with abundant emergent or floating vegetation. Active adults occur at the water's edge or on partly submerged logs or among vegetation. Often in same habitats as HYLA ANDERSONII. Eggs are laid and larvae develop in pools in adult year-around habitat (see HABCOMM); globular egg masses are attached to underwater vegetation. In southern New Jersey, calling sites had more submerged shrubs than did control sites (Given 1988)."
Lithobates grylio,N/A
Lithobates heckscheri,N/A
Lithobates palustris,"Bottoms of slow, sand- or mud-bottomed streams and connected ditches, cypress swamps; also stream-fed rice fields and mill ponds. Favors bottoms with leaf litter and detritus. Juveniles burrow into bottom. Adults congregate in leaf beds in winter. Eggs probably are attached to undersides of objects in water."
Lithobates sphenocephalus,"Terrestrial adults and efts utilize mostly xeric upland habitats, particularly sandhill, scrub, scrubby flatwoods, and sometimes mesic flatwoods. Within these habitats, isolated and usually ephemeral (though sometimes permanent) wetlands are used for breeding; these may include sinkhole ponds, depression ponds and marshes, cypress domes, and even borrow pits and ditches. A key feature of breeding ponds is the absence of large predatory fishes. Eggs probably are attached to submerged vegetation, and larvae are aquatic; they typically leave wetlands as efts, which mature to adulthood in upland wooded areas within a few hundred meters of breeding ponds. At some sites with longer hydroperiods, larvae may remain in ponds and mature as aquatic adults (paedomorphs), which may emigrate to surrounding terrestrial habitats if ponds dry."
Lithobates sylvaticus,"Adults and larvae inhabit lakes, ponds, swamps, and quiet stream pools, especially those lacking predaceous fishes. Efts and sometimes adults (for example, overwintering ones) inhabit wooded areas (terrestrial eft stage lasts 2-7 years). In some areas, such as the northeastern United States, adults may be permanently aquatic, but in other areas they may leave the water in summer or fall."
Lithobates virgatipes,"Wooded areas; generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices."
Necturus maculosus,"Wooded areas; generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices."
Necturus moleri,"Wooded slopes, ravines, floodplains, shalebanks, and cave entrances; most often in hardwood forest, sometimes in pinelands. Generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices."
Necturus punctatus,"Wooded areas; generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices.<br>"
Notophthalmus perstriatus,"Moist dense forest (hardwood, coniferous, or mixed) with mossy logs and slabs of rock. Common in many second-growth forests. Occupies burrows, leaf litter, or spaces under rocks and logs during day. Eggs are laid probably in underground cavities."
Notophthalmus viridescens,"Mesic forest, often under leaf litter, logs, or mossy rocks. Terrestrial breeder."
Plethodon chattahoochee,N/A
Plethodon chlorobryonis,"Limestone outcroppings of ""Bangor"" group. In Dickson Gulf area, found in steep rocky ravine with intermittent stream, in hardwood forest; specimens collected from cracks in rocks and in detritus-filled crevices between rocks; also found on low rock outcrop and in mouth of Pettijohn Cave. Near Harrisburg Gulf, found on boulder-strewn forested slope, in mouth of a cave, and in rocky ravine."
Plethodon glutinosus,"Wooded areas; generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices."
Plethodon grobmani,"Found under rocks, rotten logs, and mosses in forested areas. In dry summer months it occurs in and near damp areas. Uncommonly found in twilight zone of caves. Eggs are laid in moss or rotten log, or under a rock or log."
Plethodon jordani,"Mesic forest, often under leaf litter, logs, or mossy rocks. Terrestrial breeder."
Plethodon metcalfi,"Birch-beech-hemlock forest with witch hazel, mountain laurel, and rhododendron understory; home range typically includes a retreat hole (Nishikawa 1990). Highest densities occur in mature, mesic hardwood forests (Petranka 1998). Terrestrial breeder."
Plethodon ocmulgee,"Wooded areas; generally under or in rotting logs, stumps, or leaf litter, or under rocks, during the day. Goes underground during dry or freezing weather. Eggs are laid in rotting logs, underground, or in rock crevices."
Plethodon petraeus,"Vicinity of moist rocky crevices in ravines, canyons, rubble, seepages, caves, and wooded slopes. Under rocks, logs, or leaves during day."
Plethodon savannah,"This salamander inhabits mesophytic forest, often mixed pine/hardwood, sometimes relatively early successional forest (maple, hickory, oak, poplar, and elm) bordering rocky feeder streams; usually found under logs, bark, and leaf litter on the forest floor and along rocky stream beds (unless inundated). For their oversummering subterranean, oviposition refugia, they prefer accessible, fissured, shallowly buried rock. Terrestrial breeder."
